actual_costs_to_report_date,project_id,department,category,subcategory,project_description,initial_costs,cap_ex_2019,op_map
399834775.8,4230010514,Transit,Rapid Transit,SWRT Stg2 & Pembina  Construction,SWRT Stage 2 & Pembina Upfront,42763292.11,357071483.7,BRT
227292395.9,203210002B,Sewage Disposal Utility,Treatment,SEWPCC,SEWPCC Nutrient Removal      P,139897721,87394674.88,Water & Waste
29040147.72,4210000216,Transit,Transit Buses,2016 Transit Buses,Transit Buses 2016,3010881.86,26029265.86,Public Transit
47677429.79,203110013B,Sewage Disposal Utility,Treatment,NEWPCC,NEWPCC Upgrade               P,21741996.04,25935433.75,Water & Waste
79235268.87,1805001413,Public Works,Local Streets,Waterway Crossings and Grade Separations Various,Waverley Street at CN Mainline,55530936.81,23704332.06,Road Maintenance
14601292.62,1805001119,Public Works,Local Streets,Disraeli Bridge,Disraeli Bridges-Future Pmnt,NA,14601292.62,Road Maintenance
14521499.01,2013100119,Waterworks Utility,Distribution,Water Main Renewals,2019 Water Main Renewal Pro P,NA,14521499.01,Water & Waste
18627151.96,1804100217,Public Works,Regional Streets,Streets Renewals,Empress-St. Matthews/Portage,4636590,13990561.96,Road Maintenance
13154330.79,2038000118,Sewage Disposal Utility,Collection,CSO and BF Strategy,2018 CSO Bsmt Flood Man Strat,8331.73,13145999.06,Water & Waste
48182736.63,4210000417,Transit,Transit Building Replacement/Refurbishment,Maintenance  Facility Expansion,Expansion of Transit Mtnce Fac,38335386.75,9847349.88,Public Transit
9362172.34,1804101119,Public Works,Regional Streets,Streets Renewals,Fermor-Lag/Plessis-NBCF,218008.23,9144164.11,Road Maintenance
7131401.96,1801000219,Public Works,Other Street Projects,New Transportation,Chief Peguis Trail-Future Pmnt,NA,7131401.96,Road Maintenance
10805876.12,1804101317,Public Works,Regional Streets,Streets Renewals,Garry-Assiniboine/Princess,4288959.81,6516916.31,Road Maintenance
8310886.85,2037001516,Sewage Disposal Utility,Collection,Interceptors,NE Interceptor River Crossing,1852308.96,6458577.89,Water & Waste
9384163.92,2039100118,Sewage Disposal Utility,Collection,Sewer Renewals,2018 Sewer Renewal           P,3162154.23,6222009.69,Water & Waste
6792133.15,1807000118,Public Works,Regional Streets,Developer Paybacks,Developer Payback-Various Loc,615340.34,6176792.81,Road Maintenance
21449909.83,2038000117,Sewage Disposal Utility,Collection,CSO and BF Strategy,2017 CSO Bsmt Flood Man Strat,15426329.09,6023580.74,Water & Waste
14453055.27,1804101118,Public Works,Regional Streets,Streets Renewals,Fermor-St Anne's/Archibald,8658887.43,5794167.84,Road Maintenance
5644908.25,2037001317,Sewage Disposal Utility,Collection,Interceptors,Plessis Road Interceptor,11400,5633508.25,Water & Waste
25230119.61,4210000218,Transit,Transit Buses,2018 Transit Buses,Transit Buses 2018,20297492.75,4932626.86,Public Transit
13377676.01,1805001916,Public Works,Local Streets,Waterway Crossings and Grade Separations Various,Fermor Ave Bridge (Seine R)  M,8461549.93,4916126.08,Road Maintenance
4740875.15,1804101019,Public Works,Regional Streets,Streets Renewals,Main-McAdam/Kildonan Golf-NBCF,193421.84,4547453.31,Road Maintenance
